task_id,msg_index,role,tokens,mean_cos_sim,max_cos_sim,n_future_asst
0c699abf-bc77-454a-8197-d56a2294098a,1,user,20,0.573039710521698,0.729214608669281,6
0c699abf-bc77-454a-8197-d56a2294098a,2,assistant,88,0.6724230647087097,0.7790497541427612,5
0c699abf-bc77-454a-8197-d56a2294098a,3,tool,45,0.476515531539917,0.68403160572052,5
0c699abf-bc77-454a-8197-d56a2294098a,4,assistant,116,0.6364695429801941,0.8495522737503052,4
0c699abf-bc77-454a-8197-d56a2294098a,5,tool,90,0.40142253041267395,0.5369880199432373,4
0c699abf-bc77-454a-8197-d56a2294098a,6,assistant,275,0.7035074234008789,0.8672589063644409,3
0c699abf-bc77-454a-8197-d56a2294098a,7,tool,506,0.26045331358909607,0.3889945149421692,3
0c699abf-bc77-454a-8197-d56a2294098a,8,assistant,100,0.7085222005844116,0.7548323273658752,2
0c699abf-bc77-454a-8197-d56a2294098a,9,tool,1937,0.2708413302898407,0.34316229820251465,2
0c699abf-bc77-454a-8197-d56a2294098a,10,assistant,78,0.5013563632965088,0.5013563632965088,1
0c699abf-bc77-454a-8197-d56a2294098a,11,tool,362,0.261898010969162,0.261898010969162,1
0c699abf-bc77-454a-8197-d56a2294098a,12,assistant,360,,,0
67584368-7a5c-4d7a-b682-40ee44ff8c61,1,user,57,0.7868945598602295,0.8012679815292358,2
67584368-7a5c-4d7a-b682-40ee44ff8c61,2,assistant,322,0.7515426874160767,0.7515426874160767,1
67584368-7a5c-4d7a-b682-40ee44ff8c61,3,tool,133,0.4494531750679016,0.4494531750679016,1
67584368-7a5c-4d7a-b682-40ee44ff8c61,4,assistant,363,,,0
71beb770-2c25-4376-b4db-0d2eaa7c2234,1,user,27,0.44202661514282227,0.6302112340927124,6
71beb770-2c25-4376-b4db-0d2eaa7c2234,2,assistant,190,0.542735755443573,0.7002981901168823,5
71beb770-2c25-4376-b4db-0d2eaa7c2234,3,tool,90,0.4162014126777649,0.7008811235427856,5
71beb770-2c25-4376-b4db-0d2eaa7c2234,4,assistant,106,0.43468284606933594,0.7787492275238037,4
71beb770-2c25-4376-b4db-0d2eaa7c2234,5,tool,6558,0.4301711320877075,0.4826781451702118,4
71beb770-2c25-4376-b4db-0d2eaa7c2234,6,assistant,96,0.45692241191864014,0.578387975692749,3
71beb770-2c25-4376-b4db-0d2eaa7c2234,7,tool,33070,0.23342804610729218,0.2750619053840637,3
