task_id,msg_index,role,n_msg_tokens,attn_total,attn_per_token
0c699abf-bc77-454a-8197-d56a2294098a,0,user,25,157.024048,6.280962
0c699abf-bc77-454a-8197-d56a2294098a,1,assistant,86,1.810457,0.021052
0c699abf-bc77-454a-8197-d56a2294098a,2,tool,45,0.509278,0.011317
0c699abf-bc77-454a-8197-d56a2294098a,3,assistant,110,1.963573,0.017851
0c699abf-bc77-454a-8197-d56a2294098a,4,tool,86,0.276341,0.003213
0c699abf-bc77-454a-8197-d56a2294098a,5,assistant,261,4.080476,0.015634
0c699abf-bc77-454a-8197-d56a2294098a,6,tool,662,17.678190,0.026704
0c699abf-bc77-454a-8197-d56a2294098a,7,assistant,98,1.878543,0.019169
0c699abf-bc77-454a-8197-d56a2294098a,8,tool,2331,3.772384,0.001618
0c699abf-bc77-454a-8197-d56a2294098a,9,assistant,77,1.880039,0.024416
0c699abf-bc77-454a-8197-d56a2294098a,10,tool,370,2.383882,0.006443
0c699abf-bc77-454a-8197-d56a2294098a,11,assistant,363,62.754631,0.172878
67584368-7a5c-4d7a-b682-40ee44ff8c61,0,user,62,171.955017,2.773468
67584368-7a5c-4d7a-b682-40ee44ff8c61,1,assistant,319,9.770931,0.030630
67584368-7a5c-4d7a-b682-40ee44ff8c61,2,tool,134,14.470303,0.107987
67584368-7a5c-4d7a-b682-40ee44ff8c61,3,assistant,366,59.785522,0.163348
71beb770-2c25-4376-b4db-0d2eaa7c2234,10,tool,3663,173.134079,0.047266
71beb770-2c25-4376-b4db-0d2eaa7c2234,11,assistant,2481,82.859688,0.033398
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,9,assistant,5365,196.587738,0.036643
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,10,tool,47,0.908009,0.019319
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,11,assistant,732,58.485611,0.079898
59ddeaf9-0bcd-47b5-8847-f411db09f692,10,tool,4066,177.593674,0.043678
59ddeaf9-0bcd-47b5-8847-f411db09f692,11,assistant,2078,78.393448,0.037725
41364111-63cd-4e4f-a068-9616907802c5,12,tool,207,145.249435,0.701688
41364111-63cd-4e4f-a068-9616907802c5,13,assistant,158,1.319795,0.008353
41364111-63cd-4e4f-a068-9616907802c5,14,tool,379,0.957411,0.002526
41364111-63cd-4e4f-a068-9616907802c5,15,assistant,651,4.007038,0.006155
41364111-63cd-4e4f-a068-9616907802c5,16,tool,246,20.933119,0.085094
41364111-63cd-4e4f-a068-9616907802c5,17,assistant,142,0.529468,0.003729
41364111-63cd-4e4f-a068-9616907802c5,18,tool,63,0.119308,0.001894
41364111-63cd-4e4f-a068-9616907802c5,19,assistant,222,0.401530,0.001809
41364111-63cd-4e4f-a068-9616907802c5,20,tool,246,0.215338,0.000875
41364111-63cd-4e4f-a068-9616907802c5,21,assistant,245,0.827432,0.003377
41364111-63cd-4e4f-a068-9616907802c5,22,tool,76,0.179268,0.002359
41364111-63cd-4e4f-a068-9616907802c5,23,assistant,120,0.483010,0.004025
41364111-63cd-4e4f-a068-9616907802c5,24,tool,76,0.084145,0.001107
41364111-63cd-4e4f-a068-9616907802c5,25,assistant,101,0.635021,0.006287
41364111-63cd-4e4f-a068-9616907802c5,26,tool,76,0.084092,0.001106
41364111-63cd-4e4f-a068-9616907802c5,27,assistant,2585,18.349445,0.007098
41364111-63cd-4e4f-a068-9616907802c5,28,tool,89,0.949468,0.010668
41364111-63cd-4e4f-a068-9616907802c5,29,assistant,462,60.703957,0.131394
637d6462-65e6-42a3-954d-3f5129f2a3b6,12,tool,631,166.022949,0.263111
637d6462-65e6-42a3-954d-3f5129f2a3b6,13,assistant,82,0.500059,0.006098
637d6462-65e6-42a3-954d-3f5129f2a3b6,14,tool,3196,3.465750,0.001084
637d6462-65e6-42a3-954d-3f5129f2a3b6,15,assistant,248,2.090961,0.008431
637d6462-65e6-42a3-954d-3f5129f2a3b6,16,tool,48,0.174666,0.003639
637d6462-65e6-42a3-954d-3f5129f2a3b6,17,assistant,214,3.023094,0.014127
637d6462-65e6-42a3-954d-3f5129f2a3b6,18,tool,65,0.350260,0.005389
637d6462-65e6-42a3-954d-3f5129f2a3b6,19,assistant,73,1.150691,0.015763
637d6462-65e6-42a3-954d-3f5129f2a3b6,20,tool,65,0.297193,0.004572
637d6462-65e6-42a3-954d-3f5129f2a3b6,21,assistant,83,0.920683,0.011093
637d6462-65e6-42a3-954d-3f5129f2a3b6,22,tool,131,0.636782,0.004861
637d6462-65e6-42a3-954d-3f5129f2a3b6,23,assistant,76,9.577850,0.126024
637d6462-65e6-42a3-954d-3f5129f2a3b6,24,tool,185,0.851126,0.004601
637d6462-65e6-42a3-954d-3f5129f2a3b6,25,assistant,89,1.984148,0.022294
637d6462-65e6-42a3-954d-3f5129f2a3b6,26,tool,446,4.157006,0.009321
637d6462-65e6-42a3-954d-3f5129f2a3b6,27,assistant,43,1.244195,0.028935
637d6462-65e6-42a3-954d-3f5129f2a3b6,28,tool,76,0.864209,0.011371
637d6462-65e6-42a3-954d-3f5129f2a3b6,29,assistant,393,58.701782,0.149368
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,14,tool,1691,168.039505,0.099373
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,15,assistant,79,1.070226,0.013547
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,16,tool,61,0.223683,0.003667
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,17,assistant,54,0.455467,0.008435
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,18,tool,60,0.119312,0.001989
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,19,assistant,55,0.233940,0.004253
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,20,tool,52,0.111044,0.002135
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,21,assistant,68,0.231159,0.003399
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,22,tool,91,0.228189,0.002508
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,23,assistant,90,0.415311,0.004615
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,24,tool,1703,8.036851,0.004719
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,25,assistant,43,0.620774,0.014437
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,26,tool,90,0.292272,0.003247
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,27,assistant,228,1.883156,0.008259
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,28,tool,298,1.943329,0.006521
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,29,assistant,76,1.228967,0.016171
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,30,tool,393,2.145774,0.005460
